,Acoes
289,PSSA3F.SA
290,PSSA3.SA
291,CARD3F.SA
292,CARD3.SA
293,BBRK3F.SA
294,BBRK3.SA
295,BRPR3F.SA
296,BRPR3.SA
297,BRSR6F.SA
298,BRSR5F.SA
299,BRSR3F.SA
300,BRSR6.SA
301,BRSR5.SA
302,BRSR3.SA
303,SANB4F.SA
304,SANB3F.SA
305,SANB11F.SA
306,SANB4.SA
307,SANB3.SA
308,SANB11.SA
309,MULT3F.SA
310,MULT3.SA
311,ITUB3F.SA
312,ITUB4.SA
313,ITUB3.SA
314,ITUB4F.SA
315,ALSO3.SA
316,BMIN3.SA
317,MERC4.SA
318,LOGG3.SA
319,ITSA4F.SA
320,ITSA4.SA
321,ITSA3F.SA
322,IRBR3.SA
323,PDTC3.SA
324,SYNE3.SA
325,BBDC4F.SA
326,BBDC4.SA
327,BBDC3.SA
328,BRML3.SA
329,APER3F.SA
330,APER3.SA
331,BBSE3.SA
332,BPAN4.SA
333,BBAS3F.SA
334,BBAS3.SA
335,BBAS12.SA
336,BBAS11.SA
337,AXPB34.SA
338,LAND3.SA
339,DEXP4.SA
340,DEXP3.SA
341,RANI3F.SA
342,FCXO34F.SA
343,FCXO34.SA
344,PMAM3F.SA
345,PMAM3.SA
346,FESA4F.SA
347,FESA3F.SA
348,FESA4.SA
349,FESA3.SA
350,EUCA3F.SA
351,EUCA4.SA
352,EUCA3.SA
353,SUZB3F.SA
354,SUZB3.SA
355,KLBN4F.SA
356,KLBN3F.SA
357,KLBN11F.SA
358,KLBN4.SA
359,KLBN3.SA
360,KLBN11.SA
361,VALE5.SA
362,UNIP6F.SA
363,UNIP6.SA
364,UNIP5F.SA
365,UNIP5.SA
366,UNIP3.SA
367,NEMO6.SA
368,NEMO5.SA
369,NEMO3.SA
370,MMXM3.SA
371,MMXM11.SA
372,GOAU4.SA
373,DXCO3.SA
374,CSNA3F.SA
375,CSNA3.SA
376,BRKM6.SA
377,BRKM5F.SA
378,BRKM5.SA
379,BRKM3.SA
380,BRAP4F.SA
381,BRAP4.SA
382,BRAP3F.SA
383,BRAP3.SA
384,ARMT34.SA
385,RBIV11.SA
386,CPLE11F.SA
387,CPLE11.SA
388,GTLG11.SA
389,PPLA11.SA
390,BTLT39.SA
391,BSHY39.SA
392,BSHV39.SA
393,BIEI39.SA
394,BIYT39.SA
395,BGOV39.SA
396,ALUG11.SA
397,WRLD11.SA
398,CXAG11.SA
399,ROOF11.SA
400,JGPX11.SA
401,PURB11.SA
402,BIME11.SA
403,JSAF11.SA
404,TELD11.SA
405,MORC11.SA
406,HUSI11.SA
407,CYCR11.SA
408,EQIR11.SA
409,CACR11.SA
410,RZAG11.SA
411,PORT3.SA
412,GETT11.SA
413,GETT4.SA
414,GETT3.SA
415,BIYE39.SA
416,BSCZ39.SA
417,BUSA39.SA
418,BERU39.SA
419,BSOX39.SA
420,BFCG39.SA
421,BFXH39.SA
422,BFTA39.SA
423,BKYY39.SA
424,BQTC39.SA
425,BFDN39.SA
426,BFDA39.SA
427,BFPI39.SA
428,BQQW39.SA
429,BFPX39.SA
430,BCIR39.SA
431,BFDL39.SA
432,BFBI39.SA
433,BOEF39.SA
434,BURT39.SA
435,BICL39.SA
436,BIXG39.SA
437,C2OI34.SA
438,S2TO34.SA
439,MILA.SA
440,CSMO.SA
441,YDRO11.SA
442,SPXB11.SA
443,SMAB11.SA
444,W2ST34.SA
445,S2QS34.SA
446,P2AT34.SA
447,G2DD34.SA
448,D2AS34.SA
449,C2PT34.SA
450,BIVW39.SA
451,BIVE39.SA
452,BCWV39.SA
453,A2VL34.SA
454,A2MC34.SA
455,AFHI11.SA
456,HSRE11.SA
457,VSEC11.SA
458,GRAO3.SA
459,USTK11.SA
460,AGXY3.SA
461,CRPG6.SA
462,CRPG5.SA
463,CRPG3.SA
464,SMFT3.SA
465,SOJA3.SA
466,Z2NG34.SA
467,T2TD34.SA
468,T2DH34.SA
469,S2UI34.SA
470,S2QU34.SA
471,S2NW34.SA
472,S2HO34.SA
473,C2ZR34.SA
474,U2ST34.SA
475,S2EA34.SA
476,P2EN34.SA
477,M2PW34.SA
478,K2CG34.SA
479,D2KN34.SA
480,C2ON34.SA
481,C2HD34.SA
482,B2YN34.SA
483,ENMT4.SA
484,ENMT3.SA
485,VBBR3.SA
486,RAIZ4.SA
487,RECV3.SA
488,SLBG34F.SA
489,SLBG34.SA
490,HALI34F.SA
491,HALI34.SA
492,COPH34.SA
493,COPH34.SA
494,CHVX34F.SA
495,CHVX34.SA
496,PRIO3F.SA
497,PRIO3.SA
498,OSXB3F.SA
499,OSXB3.SA
500,DMMO11.SA
501,DMMO3F.SA
502,DMMO3.SA
503,RPMG3F.SA
504,RPMG3.SA
505,UGPA3.SA
506,UGPA3F.SA
507,PETR4F.SA
508,PETR4.SA
509,PETR3F.SA
510,PETR3.SA
511,EXXO34.SA
512,ENAT3.SA
513,ONCO3.SA
514,VVEO3.SA
515,PARD3.SA
516,BIOM3F.SA
517,BIOM3.SA
518,BALM3F.SA
519,BALM4F.SA
520,BALM4.SA
521,BALM3.SA
522,PFIZ34F.SA
523,PFIZ34.SA
524,MRCK34F.SA
525,MRCK34.SA
526,GBIO33F.SA
527,GBIO33.SA
528,PNVL3F.SA
529,PNVL3.SA
530,AALR3F.SA
531,AALR3.SA
532,ODPV3F.SA
533,ODPV3.SA
534,RADL3F.SA
535,RADL3.SA
536,QUAL3F.SA
537,QUAL3.SA
538,OFSA3.SA
539,JNJB34.SA
540,HYPE3.SA
541,FLRY3.SA
542,BMYB34.SA
543,ABTT34.SA
544,CLSA3.SA
545,LVTC3.SA
546,G2DI33.SA
547,IFCM3.SA
548,GOGL35.SA
549,LWSA3.SA
550,TOTS3F.SA
551,TOTS3.SA
552,XRXB34F.SA
553,XRXB34.SA
554,QCOM34F.SA
555,QCOM34.SA
556,ORCL34F.SA
557,ORCL34.SA
558,MSFT34F.SA
559,MSFT34.SA
560,IBMB34F.SA
561,IBMB34.SA
562,ITLC34F.SA
563,ITLC34.SA
564,HPQB34F.SA
565,HPQB34.SA
566,EBAY34F.SA
567,CSCO34F.SA
568,CSCO34.SA
569,ATTB34F.SA
570,AAPL34F.SA
571,AAPL34.SA
572,LINX3F.SA
573,LINX3.SA
574,POSI3F.SA
575,POSI3.SA
576,EBAY34.SA
577,BRIT3.SA
578,FIQE3.SA
579,DESK3.SA
580,VERZ34F.SA
581,VERZ34.SA
582,OIBR4F.SA
583,OIBR4.SA
584,OIBR.SA
585,TIMS3F.SA
586,TIMS3.SA
587,VIVT3F.SA
588,VIVT3.SA
589,TELB4F.SA
590,TELB4.SA
591,TELB3F.SA
592,TELB3.SA
593,ATTB34.SA
594,AURE3.SA
595,MEGA3.SA
596,CEPE6F.SA
597,CEPE5F.SA
598,CEPE3F.SA
599,CEPE6.SA
600,CEPE5.SA
